mission_id,time,real_x,real_y,real_z,vx,vy,vz,ax,ay,az,roll,pitch,yaw,wind_x,wind_y,wind_z,erreur_ok,velocity,rain,fog,snow,is_attack
1,1743260915.07267,0.9268924593925476,0.8797540068626404,-2.0900955200195312,0.0684108510613441,0.1061896011233329,0.0178058147430419,0.0517268404364585,0.0254737958312034,-9.819439888000488,-0.0221020554657462,0.0246538127129938,-1.2531452845289104,2.725510062921024,1.6904910335899568,0.5949675027880178,False,7.75,0.05,0.06,0.06,1
1,1743260915.5783305,0.935569703578949,0.9305500388145448,-2.0837478637695312,0.0932588726282119,0.0925996974110603,0.0110858492553234,0.0167552661150693,0.0620754435658454,-9.787614822387695,-0.0282471851607749,0.0191777324736149,-1.2529411055861663,2.9613514570443917,1.6376880234361717,0.5847045504455632,False,7.75,0.05,0.06,0.06,1
1,1743260916.0834253,10.0,0.0,-5.0,0.1059835776686668,0.0634618997573852,0.0007239245460368,0.0418086200952529,0.111641377210617,-9.868204116821287,-0.0305878337229533,0.0109453029286444,-1.2528788852268935,2.7044132807053542,2.439324563746373,0.4635390148816634,False,7.75,0.05,0.06,0.06,1
1,1743260917.5466435,1.123713135719299,0.9802207350730896,-2.076690673828125,0.0337175205349922,-0.0416888035833835,-0.0014476252254098,-0.0382629819214344,0.2367403656244278,-9.772483825683594,-0.0140318897040677,-0.0048722536758145,-1.252283551302804,3.403327087764968,2.3298679794320902,0.5587010251494127,False,7.75,0.05,0.06,0.06,1
1,1743260918.0496309,1.1479105949401855,0.9233248829841614,-2.077217102050781,-0.0253962613642215,-0.0413427352905273,-0.0060049793682992,0.0516238026320934,0.0688990205526351,-9.848167419433594,-0.0059586674310026,0.0004442418762612,-1.2516842812797513,2.976647175220891,2.285455091035569,0.4985014799835728,False,7.75,0.05,0.06,0.06,1
2,1743260919.8826842,0.952582061290741,0.7856147289276123,-2.0922164916992188,-0.0524672046303749,0.1272653490304947,-0.0007651264895685,-0.0125847673043608,0.1218371987342834,-9.8969144821167,-0.0131997842841505,0.0348045631380486,-1.251576281649767,2.807889219658522,2.481010756612832,0.5622357625058069,False,4.08,0.12,0.23,0.08,1
2,1743260920.3855083,0.8805989623069763,0.8360546827316284,-2.095062255859375,0.0143021112307906,0.1563336253166198,0.000554240134079,0.0136913266032934,0.1517696380615234,-9.860931396484377,-0.0268615829451971,0.0347195890407393,-1.25167883795439,3.4885799560575306,1.9443777075859745,0.4882289835725712,False,4.08,0.12,0.23,0.08,1
2,1743260920.8884249,10.0,0.0,-5.0,0.0823548436164856,0.1437442898750305,0.0019822721369564,-0.0165055319666862,0.0812156200408935,-9.843792915344238,-0.0385435848824582,0.0295995421265794,-1.251318470791872,2.798288497163825,2.220916214805862,0.415957406096887,False,4.08,0.12,0.23,0.08,1
2,1743260921.3912094,0.8594486713409424,1.026871681213379,-2.0977096557617188,0.1389962583780288,0.0893802940845489,0.0044416198506951,-0.0464657023549079,0.0615399703383445,-9.828292846679688,-0.0458499134900173,0.0175823386946064,-1.2515016148270597,3.0018267387777446,1.6386411578525062,0.4894211672429598,False,4.08,0.12,0.23,0.08,1
2,1743260921.895214,0.9338197112083436,1.1033326387405396,-2.0976333618164062,0.1706461757421493,0.0059402557089924,0.0095831248909235,-0.0386569164693355,0.1631982326507568,-9.720969200134276,-0.0439627570210377,0.0008707514139605,-1.2511154396028592,3.4204997689552714,1.941962513182757,0.422242656483848,False,4.08,0.12,0.23,0.08,1
3,1743260965.1611931,0.7789425849914551,0.216414213180542,-4.870529174804688,0.3294878005981445,-0.2644299566745758,0.5624245405197144,0.0745541006326675,-0.0191719308495521,-9.27116870880127,0.002366987031529,0.0033033443779018,0.8534493460099357,2.90666890683836,1.847479096607036,0.4341172954945636,True,6.21,0.35,0.03,0.15,1
